PERSONID,EDUC,LOGWAGE,POTEXPER,TIMETRND,ABILITY,MOTHERED,FATHERED,BRKNHOME,SIBLINGS 
1,13,1.82,1,0,1,12,12,0,1
1,18,3.29,3,7,1,12,12,0,1
1,18,3.21,5,9,1,12,12,0,1
1,18,3.06,6,10,1,12,12,0,1
2,15,2.14,4,6,1.5,12,12,0,1
2,15,2.3,5,7,1.5,12,12,0,1
2,15,2.4,6,8,1.5,12,12,0,1
2,15,2.46,7,9,1.5,12,12,0,1
2,15,2.51,8,10,1.5,12,12,0,1
2,15,2.5,9,11,1.5,12,12,0,1
2,15,2.55,10,12,1.5,12,12,0,1
2,15,2.56,11,13,1.5,12,12,0,1
2,15,2.6,12,14,1.5,12,12,0,1
3,10,1.56,1,2,-0.36,12,12,1,1
4,12,1.85,1,3,0.26,12,10,1,4
4,12,2.14,2,4,0.26,12,10,1,4
4,12,1.81,3,5,0.26,12,10,1,4
4,12,1.15,4,6,0.26,12,10,1,4
4,13,1.93,4,7,0.26,12,10,1,4
4,13,2.08,5,8,0.26,12,10,1,4
4,13,2.13,6,9,0.26,12,10,1,4
4,13,2.48,7,10,0.26,12,10,1,4
4,13,2.98,8,11,0.26,12,10,1,4
4,13,2.25,9,12,0.26,12,10,1,4
4,13,2.27,10,13,0.26,12,10,1,4
4,13,2.12,11,14,0.26,12,10,1,4
5,15,2.41,2,3,0.3,12,12,1,1
5,15,2.5,4,5,0.3,12,12,1,1
5,15,2.56,5,6,0.3,12,12,1,1
6,15,1.83,2,2,0.44,12,16,0,2
6,15,2.01,3,3,0.44,12,16,0,2
6,15,1.91,4,4,0.44,12,16,0,2
6,15,2.08,5,5,0.44,12,16,0,2
6,15,2.22,6,6,0.44,12,16,0,2
6,15,2.37,7,7,0.44,12,16,0,2
6,15,2.32,9,9,0.44,12,16,0,2
6,15,2.45,10,10,0.44,12,16,0,2
6,15,2.69,11,11,0.44,12,16,0,2
6,15,2.8,12,12,0.44,12,16,0,2
6,15,2.59,13,13,0.44,12,16,0,2
6,15,2.7,14,14,0.44,12,16,0,2
7,15,1.78,3,8,0.91,12,12,0,1
7,15,2.43,8,13,0.91,12,12,0,1
7,15,2.35,9,14,0.91,12,12,0,1
8,13,2.12,4,0,0.51,12,15,1,2
8,13,2.33,5,1,0.51,12,15,1,2
8,13,2.26,6,2,0.51,12,15,1,2
8,13,2.09,7,3,0.51,12,15,1,2
8,13,2.32,8,4,0.51,12,15,1,2
8,13,2.37,9,5,0.51,12,15,1,2
8,13,2.27,10,6,0.51,12,15,1,2
8,13,2.28,11,7,0.51,12,15,1,2
8,13,2.23,12,8,0.51,12,15,1,2
8,13,2.47,13,9,0.51,12,15,1,2
