lfp,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,1610,1,0,32,12,3.3540001,2.6500001,2708,34,12,4.0288,16310,0.72149998,12,7,5,0,14,10.91006,1.2101541,196
1,1656,0,2,30,12,1.3889,2.6500001,2310,30,9,8.4415998,21800,0.66149998,7,7,11,1,5,19.499981,0.3285121,25
1,1980,1,3,35,12,4.5454998,4.04,3072,40,12,3.5806999,21040,0.69150001,12,7,5,0,15,12.03991,1.514138,225
1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5416999,7300,0.78149998,7,7,5,0,6,6.7999959,0.0921233,36
1,1568,1,2,31,14,4.5918002,3.5999999,2000,32,12,10,27300,0.62150002,12,14,9.5,1,7,20.10006,1.524272,49
1,2032,0,0,54,12,4.7420998,4.6999998,1040,57,11,6.7105999,19495,0.69150001,14,7,7.5,1,33,9.8590536,1.5564801,1089
1,1440,0,2,37,16,8.3332996,5.9499998,2670,37,12,3.4277,21152,0.69150001,14,7,5,0,11,9.1520481,2.12026,121
1,1020,0,0,54,12,7.8431001,9.9799995,4120,53,8,2.5485001,18900,0.69150001,3,3,5,0,35,10.90004,2.059634,1225
1,1458,0,2,48,12,2.1262,0,1995,52,4,4.2206001,20405,0.75150001,7,7,3,0,24,17.305,0.75433642,576
1,1600,0,2,39,12,4.6875,4.1500001,2100,43,12,5.7143002,20425,0.69150001,7,7,5,0,21,12.925,1.544899,441
1,1969,0,1,33,12,4.0630002,4.3000002,2450,34,12,9.7959003,32300,0.58149999,12,3,5,0,15,24.29995,1.401922,225
1,1960,0,1,42,11,4.5918002,4.5799999,2375,47,14,8,28700,0.62150002,14,7,5,0,14,19.700069,1.524272,196
1,240,1,2,30,12,2.0833001,0,2830,33,16,5.3003998,15500,0.72149998,16,16,5,0,0,15.00001,0.73395318,0
1,997,0,2,43,12,2.2667999,3.5,3317,46,12,4.3413,16860,0.72149998,10,10,7.5,1,14,14.6,0.81836909,196
1,1848,0,1,43,10,3.6796999,3.3800001,2024,45,17,10.87,31431,0.58149999,7,7,7.5,1,6,24.630911,1.3028311,36
1,1224,0,3,35,11,1.3472,0,1694,38,12,9.1499004,19180,0.72149998,16,10,7.5,1,9,17.531031,0.29802841,81
1,1400,0,2,43,12,3.2142999,4,2156,45,12,6.1223998,18600,0.69150001,10,7,7.5,1,20,14.09998,1.16761,400
1,640,0,5,39,12,5.1750002,2.25,2250,40,12,6.1497998,19151,0.72149998,12,12,7.5,1,6,15.839,1.643839,36
1,2000,0,0,45,12,2,2.3,2024,51,11,6.9169998,18100,0.69150001,7,7,5,1,23,14.1,0.69314718,529
1,1324,0,4,35,12,7.5528998,3.9400001,2123,40,10,4.7103,20300,0.69150001,12,7,5,0,9,10.29996,2.0219319,81
1,2215,0,2,42,16,3.5051999,3.3,4160,48,16,3.131,30419,0.62150002,10,16,7.5,0,5,22.65498,1.254248,25
1,1680,0,0,30,12,3.5713999,3.8,2000,35,12,4,14090,0.72149998,12,10,3,0,11,8.0900478,1.272958,121
1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.2227001,22679,0.66149998,7,3,5,1,18,17.479,1.178655,324
1,800,0,0,45,12,3.25,2.2,1150,53,17,7.9651999,12160,0.72149998,7,7,11,0,15,9.5600004,1.178655,225
1,1955,1,1,31,12,2.1545,2.3,2024,31,12,4.0883999,12487,0.75150001,12,7,5,1,4,8.2749529,0.76755869,16
1,660,0,2,43,17,3.7879,0,1904,43,17,14.181,29850,0.58149999,16,14,9.5,1,21,27.349991,1.331812,441
1,525,0,0,59,12,4,3.1800001,2448,53,16,6.5359001,18100,0.69150001,3,7,9.5,1,31,16,1.386294,961
1,1904,0,3,32,12,4.7269001,6.0700002,2000,33,13,8.5,26000,0.66149998,3,7,11,1,9,16.999981,1.55327,81
1,1516,1,0,31,17,7.2558999,6,2390,30,17,6.2761998,26100,0.62150002,12,12,5,0,7,15.10006,1.981815,49
1,346,0,0,42,12,5.8670998,6.3899999,1920,47,10,5.2083001,17730,0.72149998,12,12,9.5,0,7,15.69998,1.7693599,49
1,1040,0,0,50,11,1.5385,0,1840,53,10,2.7821,6719,0.75150001,7,7,7.5,1,32,5.1189599,0.43080789,1024
1,732,0,0,59,16,2.4590001,2.5,3360,57,17,4.9106998,18550,0.69150001,3,3,14,1,11,16.75001,0.89975482,121
1,1880,0,2,36,13,5.8511,5.1999998,2284,35,13,5.8669,24600,0.66149998,12,10,7.5,0,16,13.59993,1.7666301,256
1,1680,0,1,51,12,3.5713999,3.29,1875,50,8,7.52,23100,0.69150001,7,14,5,1,14,17.10005,1.272958,196
1,2081,0,3,45,16,3.8067999,4.1900001,2140,47,17,7.5448999,24656,0.66149998,12,12,5,1,27,16.734051,1.336789,729
1,690,0,1,42,11,2.4638,0,1896,44,8,5.5380001,15897,0.75150001,10,3,7.5,0,0,14.19698,0.90170479,0
1,4210,0,0,46,12,2.3752999,4.6300001,1040,49,16,6.9231,20320,0.69150001,3,3,11,1,17,10.31999,0.86512369,289
1,2205,0,1,46,10,4.5351,4.5500002,2200,52,12,5,21384,0.66149998,10,3,11,0,28,11.3841,1.511847,784
1,1952,0,0,51,14,5.6183,5.5999999,1952,58,12,7.3063998,25561,0.62150002,7,7,14,0,24,14.59408,1.726029,576
1,1302,0,0,30,17,14.631,9.5299997,1560,30,17,11.218,36550,0.57999998,14,17,5,1,11,17.500441,2.6831419,121
1,112,1,2,30,12,2.6786001,0,4030,33,16,3.8462,15810,0.72149998,12,12,3,0,1,15.51,0.98529428,1
1,893,0,0,57,12,3.9194,3.5,2570,58,12,5.8365998,25500,0.62150002,9,9,7.5,1,14,21.999981,1.365939,196
1,583,1,2,31,16,2.5729001,9.9799995,1530,34,16,13.725,24000,0.66149998,14,16,9.5,1,6,22.5,0.94503373,36
1,480,0,2,48,12,4.5374999,4.6500001,3149,48,8,6.3492999,22172,0.66149998,3,3,5,0,10,19.993999,1.512376,100
1,1900,0,3,30,12,2,2.23,2690,32,12,5.2528,17930,0.72149998,12,7,5,0,6,14.13,0.69314718,36
1,576,0,2,34,12,3.4721999,3.8399999,3096,33,12,1.3075,7000,0.78149998,12,7,3,0,4,5.0000129,1.2447881,16
1,2056,0,2,48,16,2.0160999,0,2552,53,16,2.7997999,25300,0.72149998,14,16,5,1,10,21.1549,0.7011649,100
1,1984,0,0,45,12,4.5716,4.8200002,2040,47,11,2.6961,16212,0.72149998,10,10,11,0,22,7.1419458,1.519863,484
1,2640,0,0,51,12,2.2727001,0,2180,50,13,7.5688,22650,0.66149998,7,7,3,0,16,16.65007,0.82096863,256
1,240,0,2,30,12,2.6375,0,1864,37,12,3.4077001,6985,0.78149998,12,7,14,0,6,6.3520002,0.96983153,36
